"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3,CBoot1,Cinx1","3","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4,C5","2","47uF","","","","CAP_EEEFK1V470P:CAP_EEEFK1V470P","~"
"Cin1","1","4.7uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"COut1,COut2","2","10uF","","","","Capacitor_SMD:C_1210_3225Metric","~"
"D1","1","RB168MM-40TFTR","","","","RB168MM40TFTR:RB168MM40TFTR","https://www.rohm.com/products/diodes/schottky-barrier-diodes/ultra-low-ir/rb168mm-40tf-product#productDetail"
"D2","1","SMBJ18A","","","","DIONM5436X261N:DIONM5436X261N","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf"
"F1","1","1206L025_24YR","","","","FUSC3216X100N:FUSC3216X100N","http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_1206l_datasheet.pdf.pdf"
"J1","1","Power IN","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"L1","1","15uH","","","","SRN5040:SRN5040","~"
"L2","1","L_Ferrite","","","","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","~"
"LED1","1","VSMY2940RGX01","","","","VSMY2940RGX01:VSMY2940RGX01","https://www.vishay.com/docs/84583/vsmy2940rgx01.pdf"
"OLED1","1","SSD1306","","","","OLED_1306:128x64OLED",""
"PS1","1","LMR50410XDBVR","","","","LMR50410XDBVR:SOT95P280X145-6N","https://www.ti.com/lit/ds/symlink/lmr50410.pdf?ts=1608317161664&ref_url=https%253A%252F%252Fwww.google.com%252F"
"R1,R6","2","100","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2,R3,R4,R5","4","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"Rfbb1","1","22.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"Rfbt1","1","88.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"ROT1","1","RotaryEncoder_Switch","","","","Library:RotaryEncoder","~"
"SW3","1","InOut","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"SW4","1","OnOff","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"TP1","1","TestPoint","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"U1","1","XIAO-ESP32-C6-DIP","","","","XIAO:XIAO-ESP32S3-DIP",""
"U3","1","TSOP4838","","","","TSOP48:TSOP48_VIS","https://www.vishay.com/doc?82459"
