Comment,Designator,Footprint,LCSC,Quantity
47uF,C5,CAP_EEEFK1V470P,,1
LMR50410XDBVR,PS1,SOT95P280X145-6N,,1
10k,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
100nF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
10nF,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
4.7uF,Cin1,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,,1
10k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10nF,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
10k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
XIAO-ESP32-C6-DIP,U1,XIAO-ESP32S3-DIP,,1
InOut,SW3,SW_TH_Tactile_Omron_B3F-100x,,1
15uH,L1,SRN5040,,1
Power IN,J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,,1
L_Ferrite,L2,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,,1
88.7k,Rfbt1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
100,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
TSOP4838,U3,TSOP48_VIS,,1
10uF,COut1,C_1210_3225Metric,,1
SSD1306,OLED1,128x64OLED,,1
RB168MM-40TFTR,D1,RB168MM40TFTR,,1
47uF,C4,CAP_EEEFK1V470P,,1
OnOff,SW4,SW_TH_Tactile_Omron_B3F-100x,,1
TestPoint,TP1,TestPoint_Pad_2.0x2.0mm,,1
VSMY2940RGX01,LED1,VSMY2940RGX01,,1
RotaryEncoder_Switch,ROT1,RotaryEncoder,,1
100nF,CBoot1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
SMBJ18A,D2,DIONM5436X261N,,1
1206L025_24YR,F1,FUSC3216X100N,,1
10uF,COut2,C_1210_3225Metric,,1
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
100,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
100nF,Cinx1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
22.1k,Rfbb1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
